,original_language,original_title,popularity,title,vote_average,vote_count
41,en,The Prestige,41.21,The Prestige,8.205,14819
42,en,The Usual Suspects,44.638,The Usual Suspects,8.194,9682
43,ja,火垂るの墓,13.027,Grave of the Fireflies,7.8,87
44,de,Harakiri,2.021,Harakiri,5.889,18
45,en,Casablanca,32.113,Casablanca,8.167,4975
46,en,Oppenheimer,379.452,Oppenheimer,8.246,4027
47,fr,Intouchables,79.024,The Intouchables,8.277,16198
48,en,Modern Times,17.262,Modern Times,8.292,3426
49,it,Nuovo Cinema Paradiso,34.389,Cinema Paradiso,8.446,3995
50,it,C'era una volta il West,41.06,Once Upon a Time in the West,8.287,3961
51,en,Rear Window,28.215,Rear Window,8.357,5956
52,en,Alien,71.339,Alien,8.149,13331
53,en,City Lights,13.103,City Lights,8.302,1978
54,en,Apocalypse Now,39.415,Apocalypse Now,8.284,7564
55,en,Memento,37.603,Memento,8.188,13824
